time, amplitude
0.000000000000000000e+00,7.391803344081722404e-02
2.500000000000000139e-02,6.336070517180411032e-01
5.000000000000000278e-02,2.720906000906022637e+00
7.499999999999999722e-02,7.994927134067357777e+00
1.000000000000000056e-01,1.844002360760558545e+01
1.250000000000000000e-01,3.605515880729173972e+01
1.499999999999999944e-01,6.262575214749548991e+01
1.749999999999999889e-01,9.956655338732100802e+01
2.000000000000000111e-01,1.478241508985666997e+02
2.250000000000000056e-01,2.078282262809426300e+02
2.500000000000000000e-01,2.794819549812590367e+02
2.750000000000000222e-01,3.621831298132805728e+02
2.999999999999999889e-01,4.548681811892802784e+02
3.250000000000000111e-01,5.560724512335148120e+02
3.499999999999999778e-01,6.640017700583714486e+02
3.750000000000000000e-01,7.766111325814921429e+02
4.000000000000000222e-01,8.916862281267200387e+02
4.249999999999999889e-01,1.006924115649874125e+03
4.500000000000000111e-01,1.120010443333389276e+03
4.749999999999999778e-01,1.228690811409051548e+03
5.000000000000000000e-01,1.330833903731455393e+03
5.250000000000000222e-01,1.424485208424619259e+03
5.500000000000000444e-01,1.507911095123252608e+03
5.749999999999999556e-01,1.579633293240021885e+03
5.999999999999999778e-01,1.638453843433617749e+03
6.250000000000000000e-01,1.683470007808553419e+03
6.500000000000000222e-01,1.714078878287082034e+03
6.750000000000000444e-01,1.729972738109779129e+03
6.999999999999999556e-01,1.731126932643726150e+03
7.249999999999999778e-01,1.717782062447007092e+03
7.500000000000000000e-01,1.690421653816212029e+03
7.750000000000000222e-01,1.649745454642652476e+03
8.000000000000000444e-01,1.596639283583911947e+03
8.249999999999999556e-01,1.532144094659868870e+03
8.499999999999999778e-01,1.457425668799806999e+03
8.750000000000000000e-01,1.373743566525990673e+03
9.000000000000000222e-01,1.282418491426796891e+03
9.250000000000000444e-01,1.184799384859007887e+03
9.499999999999999556e-01,1.082232079280266362e+03
9.749999999999999778e-01,9.760308695703777175e+02
1.000000000000000000e+00,8.674536535656168326e+02
